system:index,Percent_NonTree_Vegetation,Percent_NonVegetated,Percent_Tree_Cover,canopy height,end,geometry,site,start,vegetation,year,.geo
2001_03_06_00000000000000000023_0,19,0,81,40 m,2022-12-03 18:00:00,"{""type"":""Point"",""coordinates"":[148.1516,-35.6566]}",Tumbarumba,2002-01-07 16:00:00,wet sclerophyll forest,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000016_0,65,34,1,5.5m (Stevens et al. 2012),2009-06-09 10:30:00,"{""type"":""Point"",""coordinates"":[140.65512,-34.47035]}",Loxton,2008-08-19 17:00:00,Almond orchard,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000025_0,15,1,84,55m,2021-09-21 12:00:00,"{""type"":""Point"",""coordinates"":[146.65452,-43.09502]}",Warra,2013-03-05 15:00:00,Eucalyptus obliqua tall forest,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000001_0,66,27,7,6.5m,2025-01-28 10:00:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",AliceSpringsMulga,2010-09-03 00:00:00,Canopy + three types of understorey (vegetation1-4),2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000022_0,66,27,7,6.5m,2022-01-17 23:30:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",TiTreeEast,2012-07-18 00:00:00,Canopy + three types of understorey (vegetation1-4),2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000011_0,64,13,23,6.8m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[115.71377000000003,-31.376351000000007]}",Gingin,2011-10-13 14:00:00,Banksia woodland,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000020_0,18,5,77,8m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.43585,-36.375649]}",SnowGum,2023-12-27 15:30:00,Sub-alpine woodland,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_0000000000000000001a_0,68,27,5,variable,2013-07-21 23:30:00,"{""type"":""Point"",""coordinates"":[132.477567,-14.563638999999997]}",RedDirtMelonFarm,2011-09-23 09:00:00,Woody savannah then cleared,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_0000000000000000000b_0,72,2,26,+6m,2021-07-07 12:00:00,"{""type"":""Point"",""coordinates"":[141.616472,-37.882694]}",DigbyPlantation,2018-01-01 00:30:00,Eucalyptus globulus (blue gum),2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_00000000000000000010_0,90,0,10,0.05m,2021-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[141.960897,-37.390033]}",GatumPasture,2015-02-09 00:30:00,Phalaris and Subterranean Clover,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_00000000000000000019_0,64,0,36,0.1 m,2011-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[142.81,-38.525000000000006]}",Otway,2007-08-11 00:00:00,"Pasture, grazed",2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_0000000000000000000c_0,69,22,9,0.15m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}",DryRiver,2009-10-25 15:00:00,Woodland savanna,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_0000000000000000001f_0,79,7,14,0.1m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[147.0875,-42.09055600000001]}",SilverPlains,2019-12-05 10:00:00,Species rich highland grassland/sedgeland,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_0000000000000000000d_0,41,55,4,0.2-0.6m,2013-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[148.4746,-23.85872]}",Emerald,2011-06-10 00:30:00,Mallee and crop,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_00000000000000000002_0,57,5,38,0.3m,2022-06-20 23:30:00,"{""type"":""Point"",""coordinates"":[147.32083300000002,-36.862222]}",AlpinePeatland,2017-04-12 18:30:00,,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_0000000000000000001c_0,86,11,3,0.4m,2017-07-12 17:30:00,"{""type"":""Point"",""coordinates"":[145.576,-36.656]}",RiggsCreek,2011-01-01 00:30:00,Pasture,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_0000000000000000002a_0,86,10,4,0.5 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.734864,-33.613469]}",YarramundiControl,2019-10-22 15:30:00,"pasture, unirrigated",2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_0000000000000000002b_0,80,6,14,0.5 m,2024-12-29 12:00:00,"{""type"":""Point"",""coordinates"":[150.763284,-33.620812]}",YarramundiIrrigated,2019-10-15 09:30:00,"pasture, irrigated",2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_00000000000000000029_0,66,32,2,0.50,2025-01-28 03:00:00,"{""type"":""Point"",""coordinates"":[146.2908,-34.9878]}",Yanco,2012-10-24 14:00:00,Pasture,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_03_06_00000000000000000015_0,37,62,1,0.50m,2024-07-01 00:00:00,"{""type"":""Point"",""coordinates"":[144.31041571964502,-23.52326576449729]}",LongreachMitchellGrassRangeland,2018-10-09 12:00:00,Mitchell Grass,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
